path_A,path_B,A_model,B_model,prompt,VQ,MQ,TA,Overall,fps_A,num_frames_A,fps_B,num_frames_B
videos/CogVideoX/Cog5B_00102.mp4,videos/qingying/qingying_00102.mp4,CogVideoX,qingying,"Static camera, a glass ball rolls on a smooth tabletop.",same,same,B,B,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00102.mp4,videos/kling1.5/kling1.5_00102.mp4,CogVideoX,kling1.5,"Static camera, a glass ball rolls on a smooth tabletop.",B,B,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00102.mp4,videos/easyanimatev4/Easyanimatev4_00102.mp4,CogVideoX,easyanimatev4,"Static camera, a glass ball rolls on a smooth tabletop.",same,A,B,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00102.mp4,videos/opensora1.2/OpenSora1.2_00102.mp4,CogVideoX,opensora1.2,"Static camera, a glass ball rolls on a smooth tabletop.",B,A,same,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00102.mp4,videos/gen3/gen3_00102.mp4,CogVideoX,gen3,"Static camera, a glass ball rolls on a smooth tabletop.",B,A,B,B,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00102.mp4,videos/kling/kling_00102.mp4,CogVideoX,kling,"Static camera, a glass ball rolls on a smooth tabletop.",B,A,same,A,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00102.mp4,videos/minimax/minimax_00102.mp4,CogVideoX,minimax,"Static camera, a glass ball rolls on a smooth tabletop.",B,B,B,B,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00102.mp4,videos/vidu/vidu_00102.mp4,CogVideoX,vidu,"Static camera, a glass ball rolls on a smooth tabletop.",same,A,same,A,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00102.mp4,videos/tongyi/tongyi_00102.mp4,CogVideoX,tongyi,"Static camera, a glass ball rolls on a smooth tabletop.",same,A,same,A,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00102.mp4,videos/luma1.6/luma1.6_00102.mp4,CogVideoX,luma1.6,"Static camera, a glass ball rolls on a smooth tabletop.",B,A,B,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00103.mp4,videos/gen3/gen3_00103.mp4,CogVideoX,gen3,"Static camera, a metal ball rolls on a smooth tabletop.",B,B,same,B,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00103.mp4,videos/opensora1.2/OpenSora1.2_00103.mp4,CogVideoX,opensora1.2,"Static camera, a metal ball rolls on a smooth tabletop.",B,A,A,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00103.mp4,videos/kling/kling_00103.mp4,CogVideoX,kling,"Static camera, a metal ball rolls on a smooth tabletop.",B,A,A,A,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00103.mp4,videos/kling1.5/kling1.5_00103.mp4,CogVideoX,kling1.5,"Static camera, a metal ball rolls on a smooth tabletop.",B,A,A,A,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00103.mp4,videos/minimax/minimax_00103.mp4,CogVideoX,minimax,"Static camera, a metal ball rolls on a smooth tabletop.",B,A,A,A,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00103.mp4,videos/qingying/qingying_00103.mp4,CogVideoX,qingying,"Static camera, a metal ball rolls on a smooth tabletop.",B,A,same,A,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00113.mp4,videos/luma/luma_00113.mp4,CogVideoX,luma,"Static camera, two men shake hands happily, the background is in a modern office.",same,same,A,A,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00114.mp4,videos/easyanimatev4/Easyanimatev4_00114.mp4,CogVideoX,easyanimatev4,"Static camera, a man and a woman are walking hand in hand on the street.",same,same,A,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00114.mp4,videos/minimax/minimax_00114.mp4,CogVideoX,minimax,"Static camera, a man and a woman are walking hand in hand on the street.",same,same,A,A,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00114.mp4,videos/gen3/gen3_00114.mp4,CogVideoX,gen3,"Static camera, a man and a woman are walking hand in hand on the street.",same,B,A,same,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00114.mp4,videos/qingying/qingying_00114.mp4,CogVideoX,qingying,"Static camera, a man and a woman are walking hand in hand on the street.",same,same,A,A,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00114.mp4,videos/luma/luma_00114.mp4,CogVideoX,luma,"Static camera, a man and a woman are walking hand in hand on the street.",same,same,A,A,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00114.mp4,videos/vidu/vidu_00114.mp4,CogVideoX,vidu,"Static camera, a man and a woman are walking hand in hand on the street.",same,same,A,A,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00114.mp4,videos/opensora1.2/OpenSora1.2_00114.mp4,CogVideoX,opensora1.2,"Static camera, a man and a woman are walking hand in hand on the street.",same,same,A,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00119.mp4,videos/qingying/qingying_00119.mp4,CogVideoX,qingying,Zooming in hyper-fast to a red rose and showcase the details of its petals.,A,B,same,A,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00119.mp4,videos/tongyi/tongyi_00119.mp4,CogVideoX,tongyi,Zooming in hyper-fast to a red rose and showcase the details of its petals.,B,B,A,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00119.mp4,videos/luma/luma_00119.mp4,CogVideoX,luma,Zooming in hyper-fast to a red rose and showcase the details of its petals.,A,B,A,A,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00119.mp4,videos/gen3/gen3_00119.mp4,CogVideoX,gen3,Zooming in hyper-fast to a red rose and showcase the details of its petals.,B,B,B,B,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00119.mp4,videos/kling1.5/kling1.5_00119.mp4,CogVideoX,kling1.5,Zooming in hyper-fast to a red rose and showcase the details of its petals.,A,B,A,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00119.mp4,videos/kling/kling_00119.mp4,CogVideoX,kling,Zooming in hyper-fast to a red rose and showcase the details of its petals.,A,B,same,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00119.mp4,videos/luma1.6/luma1.6_00119.mp4,CogVideoX,luma1.6,Zooming in hyper-fast to a red rose and showcase the details of its petals.,B,A,same,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00119.mp4,videos/opensora1.2/OpenSora1.2_00119.mp4,CogVideoX,opensora1.2,Zooming in hyper-fast to a red rose and showcase the details of its petals.,A,A,A,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00119.mp4,videos/minimax/minimax_00119.mp4,CogVideoX,minimax,Zooming in hyper-fast to a red rose and showcase the details of its petals.,A,same,A,A,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00119.mp4,videos/vidu/vidu_00119.mp4,CogVideoX,vidu,Zooming in hyper-fast to a red rose and showcase the details of its petals.,A,B,A,A,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00120.mp4,videos/opensora1.2/OpenSora1.2_00120.mp4,CogVideoX,opensora1.2,"FPV aerial shot, the sunshine shines on the snow capped mountains, a quiet atmosphere.",B,same,A,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00120.mp4,videos/qingying/qingying_00120.mp4,CogVideoX,qingying,"FPV aerial shot, the sunshine shines on the snow capped mountains, a quiet atmosphere.",B,same,same,B,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00120.mp4,videos/easyanimatev4/Easyanimatev4_00120.mp4,CogVideoX,easyanimatev4,"FPV aerial shot, the sunshine shines on the snow capped mountains, a quiet atmosphere.",same,same,same,same,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00120.mp4,videos/kling1.5/kling1.5_00120.mp4,CogVideoX,kling1.5,"FPV aerial shot, the sunshine shines on the snow capped mountains, a quiet atmosphere.",B,same,same,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00120.mp4,videos/minimax/minimax_00120.mp4,CogVideoX,minimax,"FPV aerial shot, the sunshine shines on the snow capped mountains, a quiet atmosphere.",same,same,same,same,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00120.mp4,videos/tongyi/tongyi_00120.mp4,CogVideoX,tongyi,"FPV aerial shot, the sunshine shines on the snow capped mountains, a quiet atmosphere.",B,B,same,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00121.mp4,videos/opensora1.2/OpenSora1.2_00121.mp4,CogVideoX,opensora1.2,"Handheld tracking, following a black car on the road.",same,same,same,same,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00121.mp4,videos/gen3/gen3_00121.mp4,CogVideoX,gen3,"Handheld tracking, following a black car on the road.",B,B,same,B,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00121.mp4,videos/luma/luma_00121.mp4,CogVideoX,luma,"Handheld tracking, following a black car on the road.",same,same,same,B,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00121.mp4,videos/tongyi/tongyi_00121.mp4,CogVideoX,tongyi,"Handheld tracking, following a black car on the road.",B,same,A,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00121.mp4,videos/luma1.6/luma1.6_00121.mp4,CogVideoX,luma1.6,"Handheld tracking, following a black car on the road.",B,same,same,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00121.mp4,videos/kling1.5/kling1.5_00121.mp4,CogVideoX,kling1.5,"Handheld tracking, following a black car on the road.",same,same,same,same,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00121.mp4,videos/vidu/vidu_00121.mp4,CogVideoX,vidu,"Handheld tracking, following a black car on the road.",same,same,same,same,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00121.mp4,videos/easyanimatev4/Easyanimatev4_00121.mp4,CogVideoX,easyanimatev4,"Handheld tracking, following a black car on the road.",same,same,same,same,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00121.mp4,videos/minimax/minimax_00121.mp4,CogVideoX,minimax,"Handheld tracking, following a black car on the road.",B,same,same,B,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00122.mp4,videos/kling/kling_00122.mp4,CogVideoX,kling,"Overlooking the street, pedestrians walking on the road, soft lighting.",same,same,A,A,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00122.mp4,videos/luma/luma_00122.mp4,CogVideoX,luma,"Overlooking the street, pedestrians walking on the road, soft lighting.",same,same,A,A,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00122.mp4,videos/tongyi/tongyi_00122.mp4,CogVideoX,tongyi,"Overlooking the street, pedestrians walking on the road, soft lighting.",B,same,A,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00122.mp4,videos/qingying/qingying_00122.mp4,CogVideoX,qingying,"Overlooking the street, pedestrians walking on the road, soft lighting.",same,same,A,A,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00123.mp4,videos/minimax/minimax_00123.mp4,CogVideoX,minimax,"Overlooking the street, pedestrians walking on the road, bright lighting.",same,same,A,A,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00123.mp4,videos/gen3/gen3_00123.mp4,CogVideoX,gen3,"Overlooking the street, pedestrians walking on the road, bright lighting.",same,same,A,B,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00123.mp4,videos/luma1.6/luma1.6_00123.mp4,CogVideoX,luma1.6,"Overlooking the street, pedestrians walking on the road, bright lighting.",same,same,A,A,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00123.mp4,videos/easyanimatev4/Easyanimatev4_00123.mp4,CogVideoX,easyanimatev4,"Overlooking the street, pedestrians walking on the road, bright lighting.",same,same,A,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00124.mp4,videos/luma/luma_00124.mp4,CogVideoX,luma,"Overlooking the street, pedestrians walking on the road, dim lighting.",same,same,same,A,8.0,49.0,24.0,126.0
